t,signal
0.15175,0.87677
0.15187,0.90219
0.152,0.92707
0.15212,0.95276
0.15225,0.98036
0.15237,1.0039
0.1525,1.0223
0.15263,1.0418
0.15275,1.0598
0.15287,1.0715
0.153,1.0772
0.15312,1.081
0.15325,1.0844
0.15338,1.0881
0.1535,1.0914
0.15362,1.094
0.15375,1.0967
0.15387,1.0979
0.154,1.099
0.15413,1.1006
0.15425,1.1011
0.15437,1.1009
0.1545,1.0992
0.15462,1.0947
0.15475,1.0827
0.15488,1.0617
0.155,1.032
0.15512,0.9943
0.15525,0.95188
0.15537,0.90566
0.1555,0.85516
0.15562,0.8037
0.15575,0.75687
0.15587,0.71506
0.156,0.67707
0.15612,0.64213
0.15625,0.60923
0.15637,0.57803
0.1565,0.54649
0.15663,0.51495
0.15675,0.48294
0.15687,0.45078
0.157,0.41557
0.15712,0.38077
0.15725,0.34828
0.15738,0.31946
0.1575,0.29445
0.15762,0.27181
0.15775,0.25054
0.15787,0.22824
0.158,0.20343
0.15813,0.1757
0.15825,0.14545
0.15837,0.11384
0.1585,0.079449
0.15862,0.042675
0.15875,0.0063099
0.15888,-0.030124
0.159,-0.065062
0.15912,-0.097417
0.15925,-0.13025
0.15937,-0.16206
0.1595,-0.19394
0.15963,-0.22555
0.15975,-0.25749
0.15987,-0.29304
0.16,-0.33124
0.16012,-0.36876
0.16025,-0.40411
0.16037,-0.43613
0.1605,-0.46651
0.16063,-0.49458
0.16075,-0.51667
0.16087,-0.53591
0.161,-0.55365
0.16112,-0.57282
0.16125,-0.59267
0.16138,-0.61476
0.1615,-0.63767
0.16162,-0.65833
0.16175,-0.67913
0.16187,-0.6985
0.162,-0.71767
0.16213,-0.7367
0.16225,-0.75471
0.16237,-0.77123
0.1625,-0.7851
0.16262,-0.79788
0.16275,-0.81079
0.16288,-0.82024
0.163,-0.82656
0.16312,-0.83513
0.16325,-0.84457
0.16337,-0.85178
0.1635,-0.85871
0.16362,-0.86395
0.16375,-0.8666
0.16387,-0.86741
0.164,-0.8668
0.16412,-0.86354
0.16425,-0.85837
0.16437,-0.85294
0.1645,-0.84315
0.16463,-0.82928
0.16475,-0.81215
0.16487,-0.79387
0.165,-0.77749
0.16512,-0.7594
0.16525,-0.7386
0.16538,-0.71604
0.1655,-0.69327
0.16562,-0.66982
0.16575,-0.64732
0.16587,-0.62495
0.166,-0.60137
0.16613,-0.57663
0.16625,-0.54998
0.16637,-0.52293
0.1665,-0.49431
0.16662,-0.46433
0.16675,-0.43524
0.16688,-0.40764
0.167,-0.38175
0.16712,-0.3517
0.16725,-0.31867
0.16737,-0.28686
0.1675,-0.2545
0.16763,-0.22357
0.16775,-0.19203
0.16787,-0.159
0.168,-0.1261
0.16812,-0.090687
